,phrase,label,sentiment,subjectivity,language,count
Tuesday,Tuesday,DATE,,,en,13.8
Saturday,Saturday,DATE,,,en,13.500000000000002
two,two,CARDINAL,,,en,12.600000000000001
Monday,Monday,DATE,,,en,11.900000000000002
the weekend,the weekend,DATE,,,en,11.800000000000002
1pm,1pm,TIME,,,en,11.400000000000002
Friday,Friday,DATE,,,en,11.4
Thursday,Thursday,DATE,,,en,11.300000000000002
today,today,DATE,,,en,11.3
seven,seven,CARDINAL,,,en,8.600000000000001
October,October,DATE,,,en,8.6
Wednesday,Wednesday,DATE,,,en,7.800000000000001
first,first,ORDINAL,,,en,7.499999999999999
one,one,CARDINAL,,,en,7.300000000000002
2025,2025,DATE,,,en,7.1
morning,morning,TIME,,,en,6.6000000000000005
three,three,CARDINAL,,,en,6.500000000000001
this week,this week,DATE,,,en,5.900000000000001
2023,2023,DATE,,,en,5.5
afternoon,afternoon,TIME,,,en,4.8999999999999995
Americans,Americans,NORP,,,en,4.6
4pm,4pm,TIME,,,en,4.4
13,13,CARDINAL,,,en,4.3999999999999995
3pm,3pm,TIME,,,en,4.2
four,four,CARDINAL,,,en,4.1000000000000005
more than 400,more than 400,CARDINAL,,,en,4.0
Today,Today,DATE,,,en,3.7
the coming days,the coming days,DATE,,,en,3.7
Thousands,Thousands,CARDINAL,,,en,3.6999999999999997
the day,the day,DATE,,,en,3.6999999999999997
Nov 20,Nov 20,DATE,,,en,3.6999999999999997
Sunday,Sunday,DATE,,,en,3.5999999999999996
the second season,the second season,DATE,,,en,3.5
Dec 2,Dec 2,DATE,,,en,3.5
at least six,at least six,CARDINAL,,,en,3.4000000000000004
six,six,CARDINAL,,,en,3.1
five,five,CARDINAL,,,en,3.1
2,2,CARDINAL,,,en,3.0
this weekend,this weekend,DATE,,,en,2.9000000000000004
2024,2024,DATE,,,en,2.9
this month,this month,DATE,,,en,2.9
next week,next week,DATE,,,en,2.8000000000000003
evening,evening,TIME,,,en,2.8000000000000003
the next three hours,the next three hours,TIME,,,en,2.8
7pm,7pm,TIME,,,en,2.8
Italian,Italian,NORP,,,en,2.8
1.15bn,1.15bn,MONEY,,,en,2.8
nine,nine,CARDINAL,,,en,2.8
Nov 23,Nov 23,DATE,,,en,2.8
summer,summer,DATE,,,en,2.8
South Australian,South Australian,NORP,,,en,2.8
30-30,30-30,CARDINAL,,,en,2.8
2pm,2pm,TIME,,,en,2.8
noon,noon,TIME,,,en,2.8
yesterday,yesterday,DATE,,,en,2.7
tomorrow,tomorrow,DATE,,,en,2.7
Malaysians,Malaysians,NORP,,,en,2.6
310,310,CARDINAL,,,en,2.6
Malaysian,Malaysian,NORP,,,en,2.5
October 21,October 21,DATE,,,en,2.5
this morning,this morning,TIME,,,en,2.2
Nine,Nine,CARDINAL,,,en,2.0
night,night,TIME,,,en,1.9000000000000001
millions,millions,CARDINAL,,,en,1.9
"More than 10,000","More than 10,000",CARDINAL,,,en,1.9
Hundreds,Hundreds,CARDINAL,,,en,1.9
£870m,£870m,MONEY,,,en,1.9
several hours,several hours,TIME,,,en,1.9
10am on,10am on,TIME,,,en,1.9
Nov 24,Nov 24,DATE,,,en,1.9
Nov. 19,Nov. 19,DATE,,,en,1.9
early Monday morning,early Monday morning,TIME,,,en,1.9
this afternoon,this afternoon,TIME,,,en,1.9
16,16,CARDINAL,,,en,1.9
this evening,this evening,TIME,,,en,1.9
weekend,weekend,DATE,,,en,1.9
Dec 16,Dec 16,DATE,,,en,1.9
Australian,Australian,NORP,,,en,1.9
between Friday and Sunday,between Friday and Sunday,DATE,,,en,1.9
This week,This week,DATE,,,en,1.9
"More than 1,000","More than 1,000",CARDINAL,,,en,1.9
1992,1992,DATE,,,en,1.9
Dec 18,Dec 18,DATE,,,en,1.9
this summer,this summer,DATE,,,en,1.9
Dec 6,Dec 6,DATE,,,en,1.9
English,English,LANGUAGE,,,en,1.9
2019,2019,DATE,,,en,1.9
less than 2 hours,less than 2 hours,TIME,,,en,1.9
Nov 19,Nov 19,DATE,,,en,1.9
A wet weekend,A wet weekend,DATE,,,en,1.9
minutes,minutes,TIME,,,en,1.9
overnight,overnight,TIME,,,en,1.9
Millions,Millions,CARDINAL,,,en,1.9
"More than 130,000","More than 130,000",CARDINAL,,,en,1.9
five days,five days,DATE,,,en,1.8
half,half,CARDINAL,,,en,1.8
Winter,Winter,DATE,,,en,1.8
Sept. 5,Sept. 5,DATE,,,en,1.8
27,27,CARDINAL,,,en,1.8
October 11,October 11,DATE,,,en,1.8
winter,winter,DATE,,,en,1.8
more than one hundred thousand,more than one hundred thousand,CARDINAL,,,en,1.8
the OzAsia Festival,the OzAsia Festival,EVENT,,,en,1.8
35-27,35-27,DATE,,,en,1.8
8,8,CARDINAL,,,en,1.8
the next 72 hours,the next 72 hours,TIME,,,en,1.8
+12 chars,+12 chars,WORK_OF_ART,,,en,1.8
the next 24 hours,the next 24 hours,TIME,,,en,1.8
last night,last night,TIME,,,en,1.8
Lake Saint Louis,Lake Saint Louis,FAC,,,en,1.8
two hours,two hours,TIME,,,en,1.8
two-thirds,two-thirds,CARDINAL,,,en,1.8
60 mph,60 mph,QUANTITY,,,en,1.8
October 13,October 13,DATE,,,en,1.8
a year ago,a year ago,DATE,,,en,1.7
1am on,1am on,TIME,,,en,1.7
Nov 27,Nov 27,DATE,,,en,1.7
Nov 22,Nov 22,DATE,,,en,1.7
up to 8,up to 8,CARDINAL,,,en,1.6
Interstate 75 North,Interstate 75 North,FAC,,,en,1.6
tens of thousands,tens of thousands,CARDINAL,,,en,1.6
the past fortnight,the past fortnight,DATE,,,en,1.6
midweek,midweek,DATE,,,en,1.6
a day,a day,DATE,,,en,1.5
72,72,CARDINAL,,,en,1.4
48,48,CARDINAL,,,en,1.4
months,months,DATE,,,en,1.4
Oct. 7,Oct. 7,DATE,,,en,1.4
Dozens,Dozens,CARDINAL,,,en,1.4
Monday night,Monday night,TIME,,,en,1.4
Nov. 12,Nov. 12,DATE,,,en,1.3000000000000003
37 degrees,37 degrees,QUANTITY,,,en,1.3
the Rubro-Negro,the Rubro-Negro,FAC,,,en,1.3
the Intercontinental Cup,the Intercontinental Cup,EVENT,,,en,1.3
Pyramids 2-0,Pyramids 2-0,WORK_OF_ART,,,en,1.3
"today, October 28","today, October 28",DATE,,,en,1.3
Tens of thousands,Tens of thousands,CARDINAL,,,en,1.3
55%,55%,PERCENT,,,en,1.2000000000000002
2011,2011,DATE,,,en,1.2000000000000002
Del Sol VTEC,Del Sol VTEC,PRODUCT,,,en,1.2000000000000002
1995,1995,DATE,,,en,1.2000000000000002
1997,1997,DATE,,,en,1.2000000000000002
years,years,DATE,,,en,1.2
10th,10th,ORDINAL,,,en,1.2
this year,this year,DATE,,,en,1.2
earlier this year,earlier this year,DATE,,,en,1.2
at least one,at least one,CARDINAL,,,en,1.2
the Launch of Olde Style Weatherwood Color,the Launch of Olde Style Weatherwood Color,WORK_OF_ART,,,en,1.1
one September day in 1995,one September day in 1995,DATE,,,en,1.1
the next 36 hours,the next 36 hours,TIME,,,en,1.1
Civic,Civic,PRODUCT,,,en,1.1
2002,2002,DATE,,,en,1.1
121,121,CARDINAL,,,en,1.1
million,million,CARDINAL,,,en,1.1
1.16,1.16,CARDINAL,,,en,1.1
"October 16, 2025","October 16, 2025",DATE,,,en,1.1
Victorian,Victorian,NORP,,,en,1.1
The Ideal Backup,The Ideal Backup,PRODUCT,,,en,1.1
Polish,Polish,NORP,,,en,1.1
more than 500,more than 500,CARDINAL,,,en,1.1
late Wednesday,late Wednesday,TIME,,,en,1.1
last week,last week,DATE,,,en,1.1
700k,700k,MONEY,,,en,1.1
Epson International Pano,Epson International Pano,EVENT,,,en,1.1
Nikon Comedy Wildlife Photography Awards,Nikon Comedy Wildlife Photography Awards,EVENT,,,en,1.1
fourth,fourth,ORDINAL,,,en,1.1
75,75,CARDINAL,,,en,1.1
One,One,CARDINAL,,,en,1.1
Chubbies,Chubbies,PRODUCT,,,en,1.1
7 days,7 days,DATE,,,en,1.1
700 miles,700 miles,QUANTITY,,,en,1.1
"130,000","130,000",CARDINAL,,,en,1.0
57,57,CARDINAL,,,en,1.0
9,9,CARDINAL,,,en,1.0
1000,1000,CARDINAL,,,en,1.0
November 1,November 1,DATE,,,en,1.0
the entire day,the entire day,DATE,,,en,1.0
eight,eight,CARDINAL,,,en,1.0
Pleasant Me,Pleasant Me,FAC,,,en,1.0
+2002 chars,+2002 chars,WORK_OF_ART,,,en,1.0
November 23,November 23,DATE,,,en,1.0
1pm Nov 20,1pm Nov 20,TIME,,,en,1.0
1pm to 7pm,1pm to 7pm,TIME,,,en,1.0
Republicans,Republicans,NORP,,,en,1.0
next year,next year,DATE,,,en,1.0
the next few days,the next few days,DATE,,,en,1.0
16th,16th,ORDINAL,,,en,1.0
Italys,Italys,NORP,,,en,1.0
Christmas,Christmas,DATE,,,en,1.0
Christmas Day,Christmas Day,DATE,,,en,1.0
December 18,December 18,DATE,,,en,1.0
the past couple of years,the past couple of years,DATE,,,en,1.0
Dec 15,Dec 15,DATE,,,en,1.0
Libertadores,Libertadores,PRODUCT,,,en,1.0
5pm,5pm,TIME,,,en,1.0
around 11 oclock,around 11 oclock,TIME,,,en,1.0
Up to 4 inches,Up to 4 inches,QUANTITY,,,en,1.0
Dec 13,Dec 13,DATE,,,en,1.0
30,30,CARDINAL,,,en,1.0
30 seconds,30 seconds,TIME,,,en,1.0
30 30,30 30,CARDINAL,,,en,1.0
over 3.5 million miles,over 3.5 million miles,QUANTITY,,,en,1.0
Autonomy & AI Day,Autonomy & AI Day,WORK_OF_ART,,,en,1.0
a Hint At Robotaxis,a Hint At Robotaxis,PRODUCT,,,en,1.0
decades,decades,DATE,,,en,1.0
six hours,six hours,TIME,,,en,1.0
Custom Silicon,Custom Silicon,PRODUCT,,,en,1.0
the Teluk Baru Fishermen's Jetty,the Teluk Baru Fishermen's Jetty,FAC,,,en,1.0
the Teluk Baru Fishermens Jetty,the Teluk Baru Fishermens Jetty,FAC,,,en,1.0
22 Years Later,22 Years Later,DATE,,,en,1.0
500,500,CARDINAL,,,en,1.0
"Thursday, Nov. 20","Thursday, Nov. 20",DATE,,,en,1.0
200,200,CARDINAL,,,en,1.0
late January,late January,DATE,,,en,1.0
the afternoon,the afternoon,TIME,,,en,1.0
Interstate 20,Interstate 20,FAC,,,en,1.0
Interstate 35,Interstate 35,FAC,,,en,1.0
+1845 chars,+1845 chars,WORK_OF_ART,,,en,1.0
at least the sixth,at least the sixth,DATE,,,en,1.0
as many weeks,as many weeks,DATE,,,en,1.0
8am,8am,TIME,,,en,1.0
10 hours,10 hours,TIME,,,en,1.0
early this morning,early this morning,TIME,,,en,1.0
Sg Petani,Sg Petani,NORP,,,en,1.0
December,December,DATE,,,en,1.0
nights,nights,TIME,,,en,1.0
10 am,10 am,TIME,,,en,1.0
next 3 hours,next 3 hours,TIME,,,en,1.0
Nov 25,Nov 25,DATE,,,en,1.0
More than 100,More than 100,CARDINAL,,,en,1.0
the busiest travel days,the busiest travel days,DATE,,,en,1.0
more than 100,more than 100,CARDINAL,,,en,1.0
30C,30C,CARDINAL,,,en,1.0
winters,winters,DATE,,,en,1.0
fourth-straight year,fourth-straight year,DATE,,,en,1.0
week three,week three,DATE,,,en,1.0
a week,a week,DATE,,,en,1.0
the 10th straight year,the 10th straight year,DATE,,,en,1.0
"November 24, 2025","November 24, 2025",DATE,,,en,1.0
an estimated 73 million,an estimated 73 million,CARDINAL,,,en,1.0
Dec 3,Dec 3,DATE,,,en,1.0
M23,M23,PRODUCT,,,en,1.0
Cosmic,Cosmic,WORK_OF_ART,,,en,1.0
Rwandan,Rwandan,NORP,,,en,1.0
"about 40,000","about 40,000",CARDINAL,,,en,1.0
recent weeks,recent weeks,DATE,,,en,1.0
12,12,CARDINAL,,,en,1.0
"40,000","40,000",CARDINAL,,,en,1.0
an interesting year,an interesting year,DATE,,,en,1.0
around 2 p.m.,around 2 p.m.,TIME,,,en,1.0
1.12 inches,1.12 inches,QUANTITY,,,en,1.0
Japanese,Japanese,NORP,,,en,1.0
Whanganui,Whanganui,PRODUCT,0.07894736842105263,0.2631578947368421,en,1.0
Midwestern,Midwestern,NORP,,,en,1.0
9pm,9pm,TIME,,,en,1.0
Port Pirie,Port Pirie,FAC,,,en,1.0
9 pm,9 pm,TIME,,,en,1.0
early-summer,early-summer,DATE,,,en,1.0
December 3,December 3,DATE,,,en,1.0
Nov 2,Nov 2,DATE,,,en,1.0
thousands,thousands,CARDINAL,,,en,1.0
73,73,CARDINAL,,,en,1.0
Thanksgiving,Thanksgiving,DATE,,,en,1.0
10 million,10 million,CARDINAL,,,en,1.0
"at least $300,000","at least $300,000",MONEY,,,en,1.0
90 percent,90 percent,PERCENT,,,en,1.0
The next 36 hours,The next 36 hours,TIME,,,en,1.0
over 100mm,over 100mm,QUANTITY,,,en,1.0
Deepavali day,Deepavali day,DATE,,,en,1.0
100mm,100mm,QUANTITY,,,en,1.0
a 38-degree day,a 38-degree day,DATE,,,en,1.0
more than 50 million,more than 50 million,CARDINAL,,,en,1.0
More than 50 million,More than 50 million,CARDINAL,,,en,1.0
"70,000","70,000",CARDINAL,,,en,1.0
"75,000","75,000",CARDINAL,,,en,1.0
One week,One week,DATE,,,en,1.0
one week,one week,DATE,,,en,1.0
No Income Tax to Parents,No Income Tax to Parents,LAW,,,en,1.0
Daytime,Daytime,TIME,,,en,1.0
the Western Ghats,the Western Ghats,FAC,,,en,1.0
October 19,October 19,DATE,,,en,1.0
wet weekend,wet weekend,DATE,,,en,1.0
Deepavali,Deepavali,EVENT,,,en,1.0
Oct. 20,Oct. 20,DATE,,,en,1.0
5,5,CARDINAL,,,en,1.0
Family Features,Family Features,WORK_OF_ART,,,en,1.0
Hidden Wisdom,Hidden Wisdom,WORK_OF_ART,,,en,1.0
"October 24, 2025, Saturday","October 24, 2025, Saturday",DATE,,,en,1.0
"October 24, 2025","October 24, 2025",DATE,,,en,1.0
tonight,tonight,TIME,,,en,1.0
Serengeti,Serengeti,PRODUCT,,,en,1.0
I Just Can’t Wait To Be King,I Just Can’t Wait To Be King,WORK_OF_ART,,,en,1.0
the Nikon Comedy Wildlife Photography Awards,the Nikon Comedy Wildlife Photography Awards,PRODUCT,,,en,1.0
Each year,Each year,DATE,,,en,1.0
Oct. 21,Oct. 21,DATE,,,en,1.0
10,10,CARDINAL,,,en,1.0
7 Days,7 Days,DATE,,,en,1.0
each year,each year,DATE,,,en,1.0
millions of dollars,millions of dollars,MONEY,,,en,1.0
"Shutterstock

","Shutterstock

",PRODUCT,,,en,1.0
36 hours,36 hours,TIME,,,en,1.0
the mid 80s,the mid 80s,DATE,,,en,1.0
Tamil Nadu,Tamil Nadu,NORP,-0.01136363636363636,0.022727272727272717,en,1.0
October 26,October 26,DATE,,,en,1.0
a weekend,a weekend,DATE,,,en,1.0
hundreds,hundreds,CARDINAL,,,en,1.0
early spring,early spring,DATE,,,en,1.0
+33650 chars,+33650 chars,WORK_OF_ART,,,en,1.0
March,March,DATE,,,en,1.0
third,third,ORDINAL,,,en,1.0
Israeli,Israeli,NORP,,,en,1.0
Qatari,Qatari,NORP,,,en,1.0
+1398 chars,+1398 chars,WORK_OF_ART,,,en,1.0
Heavy Rainfall,Heavy Rainfall,WORK_OF_ART,,,en,1.0
"July 24, 2023","July 24, 2023",DATE,,,en,1.0
Gazans,Gazans,NORP,,,en,1.0
September,September,DATE,,,en,1.0
late this evening,late this evening,TIME,,,en,1.0
the week,the week,DATE,,,en,1.0
"September 26, 2025","September 26, 2025",DATE,,,en,1.0
Monday afternoon,Monday afternoon,TIME,,,en,1.0
Apache Junction,Apache Junction,FAC,0.375,0.875,en,1.0
a month,a month,DATE,,,en,1.0
two-inch,two-inch,QUANTITY,,,en,1.0
a few weeks,a few weeks,DATE,,,en,1.0
A year,A year,DATE,,,en,1.0
One year,One year,DATE,,,en,1.0
10/15/2025 8:52:31 AM PDT,10/15/2025 8:52:31 AM PDT,TIME,,,en,1.0
51,51,CARDINAL,,,en,1.0
1,1,CARDINAL,,,en,1.0
Californians,Californians,NORP,,,en,1.0
Early-Season,Early-Season,DATE,,,en,1.0
more than 2 inches,more than 2 inches,QUANTITY,,,en,1.0
Nearly 20 Years,Nearly 20 Years,DATE,,,en,1.0
+5007,+5007,NORP,,,en,1.0
January,January,DATE,,,en,1.0
About 115,About 115,CARDINAL,,,en,1.0
2025-10,2025-10,DATE,,,en,1.0
6:04 PM to 6:30 PM,6:04 PM to 6:30 PM,TIME,,,en,1.0
832,832,MONEY,,,en,1.0
October 27,October 27,DATE,,,en,1.0
up to 250 km/h,up to 250 km/h,QUANTITY,,,en,1.0
last month,last month,DATE,,,en,1.0
"Thunderstorms Hit, Asthma Can Become an ER Nightmare","Thunderstorms Hit, Asthma Can Become an ER Nightmare",WORK_OF_ART,,,en,1.0
decades-ago,decades-ago,DATE,,,en,1.0
Just a couple of inches,Just a couple of inches,TIME,,,en,1.0
the final seconds,the final seconds,TIME,,,en,1.0
6 November 2025,6 November 2025,DATE,,,en,1.0
#45 2025,#45 2025,MONEY,,,en,1.0
Week,Week,DATE,,,en,1.0
the Great Southern,the Great Southern,EVENT,,,en,1.0
West Australian,West Australian,NORP,,,en,1.0
the last year and a half,the last year and a half,DATE,,,en,1.0
1998,1998,DATE,,,en,1.0
+4848,+4848,NORP,,,en,1.0
balmy nights,balmy nights,DATE,,,en,1.0
The last month of spring,The last month of spring,DATE,,,en,1.0
the afternoon hours,the afternoon hours,TIME,,,en,1.0
2026,2026,DATE,,,en,1.0
the almost 50 years,the almost 50 years,DATE,,,en,1.0
+4131,+4131,NORP,,,en,1.0
second,second,ORDINAL,,,en,1.0
over 400,over 400,CARDINAL,,,en,1.0
Six,Six,CARDINAL,,,en,1.0
Nov 8),Nov 8),DATE,,,en,1.0
Nov 8).The,Nov 8).The,DATE,,,en,1.0
Mile Marker,Mile Marker,FAC,,,en,1.0
Interstate 285,Interstate 285,FAC,,,en,1.0
just 4.5,just 4.5,CARDINAL,,,en,1.0
4.5,4.5,CARDINAL,,,en,1.0
fifth,fifth,ORDINAL,,,en,1.0
32 degrees,32 degrees,QUANTITY,,,en,1.0
2020,2020,DATE,,,en,1.0
Black Friday,Black Friday,EVENT,,,en,1.0
the holiday season,the holiday season,DATE,,,en,1.0
the the end of 2025,the the end of 2025,DATE,,,en,1.0
Jackery Explorer 1000,Jackery Explorer 1000,PRODUCT,,,en,1.0
zero,zero,CARDINAL,,,en,1.0
Three days,Three days,DATE,,,en,1.0
Andhra Pradesh,Andhra Pradesh,NORP,0.016666666666666666,0.5333333333333333,en,1.0
the Year 2025,the Year 2025,DATE,,,en,1.0
+1703 chars,+1703 chars,WORK_OF_ART,,,en,1.0
the next five days,the next five days,DATE,,,en,1.0
"Wednesday, October 29","Wednesday, October 29",DATE,,,en,1.0
55 kmph,55 kmph,QUANTITY,,,en,1.0
35-45 kmph,35-45 kmph,QUANTITY,,,en,1.0
Cyclone Montha Bengal Weather Update,Cyclone Montha Bengal Weather Update,WORK_OF_ART,,,en,1.0
Cyclone Montha,Cyclone Montha,WORK_OF_ART,,,en,1.0
Cyclone Montha Weather Update:,Cyclone Montha Weather Update:,WORK_OF_ART,,,en,1.0
more than 30,more than 30,CARDINAL,,,en,1.0
dozens,dozens,CARDINAL,,,en,1.0
Indian,Indian,NORP,,,en,1.0
October 28 evening,October 28 evening,DATE,,,en,1.0
+5140,+5140,NORP,,,en,1.0
early Saturday,early Saturday,TIME,,,en,1.0
Apparent Lightning Strike,Apparent Lightning Strike,FAC,,,en,1.0
the Year Competition,the Year Competition,EVENT,,,en,1.0
Lugu Lake,Lugu Lake,FAC,,,en,1.0
Tuesday afternoon,Tuesday afternoon,TIME,,,en,1.0
500 meters,500 meters,QUANTITY,,,en,1.0
300k,300k,MONEY,,,en,1.0
between 8 and 9 centimetres,between 8 and 9 centimetres,QUANTITY,,,en,1.0
hours,hours,TIME,,,en,1.0
two consecutive days,two consecutive days,DATE,,,en,1.0
Manendra,Manendra,WORK_OF_ART,,,en,1.0
decades ago,decades ago,DATE,,,en,1.0
Saturday afternoon,Saturday afternoon,TIME,,,en,1.0
up to nine centimetres,up to nine centimetres,QUANTITY,,,en,1.0
Nine centimetre,Nine centimetre,QUANTITY,,,en,1.0
Year,Year,DATE,,,en,1.0
6,6,CARDINAL,,,en,1.0
their worst seasons in years,their worst seasons in years,DATE,,,en,1.0
countrys,countrys,NORP,,,en,1.0
the end of this week,the end of this week,DATE,,,en,1.0
November 2,November 2,DATE,,,en,1.0
a Christmas Day scorcher,a Christmas Day scorcher,DATE,,,en,1.0
